emg,gesture
;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9;;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9;;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9;;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9;;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9;;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9;;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9;;;2;;;2;-33;;-6;;-1;;-8;;-3;;-9,1
11;;4;18;15;;8;-2;;6;11;11;;4;18;15;;8;-2;;6;11;11;;4;18;15;;8;-2;;6;11;11;;4;18;15;;8;-2;;6;11;11;;4;18;15;;8;-2;;6;11;11;;4;18;15;;8;-2;;6;11;11;;4;18;15;;8;-2;;6;11;11;;4;18;15;;8;-2;;6;11,1
-14;;-4;;16;;-5;;-2;;;2;;;2;;-8;-14;;-4;;16;;-5;;-2;;;2;;;2;;-8;-14;;-4;;16;;-5;;-2;;;2;;;2;;-8;-14;;-4;;16;;-5;;-2;;;2;;;2;;-8;-14;;-4;;16;;-5;;-2;;;2;;;2;;-8;-14;;-4;;16;;-5;;-2;;;2;;;2;;-8;-14;;-4;;16;;-5;;-2;;;2;;;2;;-8;-14;;-4;;16;;-5;;-2;;;2;;;2;;-8,1
-10;-14;-18;;-3;;;2;;-1;;;0;-15;-10;-14;-18;;-3;;;2;;-1;;;0;-15;-10;-14;-18;;-3;;;2;;-1;;;0;-15;-10;-14;-18;;-3;;;2;;-1;;;0;-15;-10;-14;-18;;-3;;;2;;-1;;;0;-15;-10;-14;-18;;-3;;;2;;-1;;;0;-15;-10;-14;-18;;-3;;;2;;-1;;;0;-15;-10;-14;-18;;-3;;;2;;-1;;;0;-15,1
;-2;;;8;;20;;;0;-10;;;1;;-4;;-3;;-2;;;8;;20;;;0;-10;;;1;;-4;;-3;;-2;;;8;;20;;;0;-10;;;1;;-4;;-3;;-2;;;8;;20;;;0;-10;;;1;;-4;;-3;;-2;;;8;;20;;;0;-10;;;1;;-4;;-3;;-2;;;8;;20;;;0;-10;;;1;;-4;;-3;;-2;;;8;;20;;;0;-10;;;1;;-4;;-3;;-2;;;8;;20;;;0;-10;;;1;;-4;;-3,1
;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1;;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1;;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1;;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1;;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1;;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1;;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1;;-5;;-3;-16;;-9;;-6;;;1;;;7;;-1,1
12;;7;;2;;1;;6;;0;-3;-4;12;;7;;2;;1;;6;;0;-3;-4;12;;7;;2;;1;;6;;0;-3;-4;12;;7;;2;;1;;6;;0;-3;-4;12;;7;;2;;1;;6;;0;-3;-4;12;;7;;2;;1;;6;;0;-3;-4;12;;7;;2;;1;;6;;0;-3;-4;12;;7;;2;;1;;6;;0;-3;-4,1
-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9;-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9;-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9;-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9;-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9;-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9;-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9;-13;;;0;;-9;;-3;;;6;;-3;;;6;;;9,1
;1;-9;;2;;9;14;;5;10;-6;;1;-9;;2;;9;14;;5;10;-6;;1;-9;;2;;9;14;;5;10;-6;;1;-9;;2;;9;14;;5;10;-6;;1;-9;;2;;9;14;;5;10;-6;;1;-9;;2;;9;14;;5;10;-6;;1;-9;;2;;9;14;;5;10;-6;;1;-9;;2;;9;14;;5;10;-6,1
;-2;;;5;;15;;-8;-13;;-5;-14;;;1;;-2;;;5;;15;;-8;-13;;-5;-14;;;1;;-2;;;5;;15;;-8;-13;;-5;-14;;;1;;-2;;;5;;15;;-8;-13;;-5;-14;;;1;;-2;;;5;;15;;-8;-13;;-5;-14;;;1;;-2;;;5;;15;;-8;-13;;-5;-14;;;1;;-2;;;5;;15;;-8;-13;;-5;-14;;;1;;-2;;;5;;15;;-8;-13;;-5;-14;;;1,1
;;1;-14;-12;;-7;-19;;-7;;;4;;;0;;;1;-14;-12;;-7;-19;;-7;;;4;;;0;;;1;-14;-12;;-7;-19;;-7;;;4;;;0;;;1;-14;-12;;-7;-19;;-7;;;4;;;0;;;1;-14;-12;;-7;-19;;-7;;;4;;;0;;;1;-14;-12;;-7;-19;;-7;;;4;;;0;;;1;-14;-12;;-7;-19;;-7;;;4;;;0;;;1;-14;-12;;-7;-19;;-7;;;4;;;0,1
28;46;21;;8;;7;;9;;1;;0;28;46;21;;8;;7;;9;;1;;0;28;46;21;;8;;7;;9;;1;;0;28;46;21;;8;;7;;9;;1;;0;28;46;21;;8;;7;;9;;1;;0;28;46;21;;8;;7;;9;;1;;0;28;46;21;;8;;7;;9;;1;;0;28;46;21;;8;;7;;9;;1;;0,1
