emg,gesture
;16;-15;;;0;;-8;;;4;-10;;;6;;;9;;16;-15;;;0;;-8;;;4;-10;;;6;;;9;;16;-15;;;0;;-8;;;4;-10;;;6;;;9;;16;-15;;;0;;-8;;;4;-10;;;6;;;9;;16;-15;;;0;;-8;;;4;-10;;;6;;;9;;16;-15;;;0;;-8;;;4;-10;;;6;;;9;;16;-15;;;0;;-8;;;4;-10;;;6;;;9;;16;-15;;;0;;-8;;;4;-10;;;6;;;9,1
;16;;15;;-9;;-3;-19;;15;;;3;;;0;;16;;15;;-9;;-3;-19;;15;;;3;;;0;;16;;15;;-9;;-3;-19;;15;;;3;;;0;;16;;15;;-9;;-3;-19;;15;;;3;;;0;;16;;15;;-9;;-3;-19;;15;;;3;;;0;;16;;15;;-9;;-3;-19;;15;;;3;;;0;;16;;15;;-9;;-3;-19;;15;;;3;;;0;;16;;15;;-9;;-3;-19;;15;;;3;;;0,1
-13;-27;;;8;;16;;20;;-3;;-6;-23;-13;-27;;;8;;16;;20;;-3;;-6;-23;-13;-27;;;8;;16;;20;;-3;;-6;-23;-13;-27;;;8;;16;;20;;-3;;-6;-23;-13;-27;;;8;;16;;20;;-3;;-6;-23;-13;-27;;;8;;16;;20;;-3;;-6;-23;-13;-27;;;8;;16;;20;;-3;;-6;-23;-13;-27;;;8;;16;;20;;-3;;-6;-23,1
;-6;-38;;-4;;;0;;;6;;-4;;13;;;7;;-6;-38;;-4;;;0;;;6;;-4;;13;;;7;;-6;-38;;-4;;;0;;;6;;-4;;13;;;7;;-6;-38;;-4;;;0;;;6;;-4;;13;;;7;;-6;-38;;-4;;;0;;;6;;-4;;13;;;7;;-6;-38;;-4;;;0;;;6;;-4;;13;;;7;;-6;-38;;-4;;;0;;;6;;-4;;13;;;7;;-6;-38;;-4;;;0;;;6;;-4;;13;;;7,1
;-8;-12;-13;;;1;;-6;-26;;-2;;14;;-8;-12;-13;;;1;;-6;-26;;-2;;14;;-8;-12;-13;;;1;;-6;-26;;-2;;14;;-8;-12;-13;;;1;;-6;-26;;-2;;14;;-8;-12;-13;;;1;;-6;-26;;-2;;14;;-8;-12;-13;;;1;;-6;-26;;-2;;14;;-8;-12;-13;;;1;;-6;-26;;-2;;14;;-8;-12;-13;;;1;;-6;-26;;-2;;14,1
-32;;20;;;4;-18;-10;;;9;;-9;-35;-32;;20;;;4;-18;-10;;;9;;-9;-35;-32;;20;;;4;-18;-10;;;9;;-9;-35;-32;;20;;;4;-18;-10;;;9;;-9;-35;-32;;20;;;4;-18;-10;;;9;;-9;-35;-32;;20;;;4;-18;-10;;;9;;-9;-35;-32;;20;;;4;-18;-10;;;9;;-9;-35;-32;;20;;;4;-18;-10;;;9;;-9;-35,1
;27;;;0;;-1;-21;-12;;;1;;20;;57;;27;;;0;;-1;-21;-12;;;1;;20;;57;;27;;;0;;-1;-21;-12;;;1;;20;;57;;27;;;0;;-1;-21;-12;;;1;;20;;57;;27;;;0;;-1;-21;-12;;;1;;20;;57;;27;;;0;;-1;-21;-12;;;1;;20;;57;;27;;;0;;-1;-21;-12;;;1;;20;;57;;27;;;0;;-1;-21;-12;;;1;;20;;57,1
-19;;24;;;9;;28;;11;;;6;-23;-46;-19;;24;;;9;;28;;11;;;6;-23;-46;-19;;24;;;9;;28;;11;;;6;-23;-46;-19;;24;;;9;;28;;11;;;6;-23;-46;-19;;24;;;9;;28;;11;;;6;-23;-46;-19;;24;;;9;;28;;11;;;6;-23;-46;-19;;24;;;9;;28;;11;;;6;-23;-46;-19;;24;;;9;;28;;11;;;6;-23;-46,1
;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4;;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4;;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4;;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4;;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4;;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4;;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4;;-1;-13;;-3;;-3;;-3;;-2;;;9;;-4,1
;10;;-9;;-9;-10;;;1;;;0;-15;;;7;;10;;-9;;-9;-10;;;1;;;0;-15;;;7;;10;;-9;;-9;-10;;;1;;;0;-15;;;7;;10;;-9;;-9;-10;;;1;;;0;-15;;;7;;10;;-9;;-9;-10;;;1;;;0;-15;;;7;;10;;-9;;-9;-10;;;1;;;0;-15;;;7;;10;;-9;;-9;-10;;;1;;;0;-15;;;7;;10;;-9;;-9;-10;;;1;;;0;-15;;;7,1
